item,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
revenue_per_mw_year_usd_m,10.071794871794872,10.89438202247191,10.299441509433962,8.7328,8.985945945945947,8.24
ebitda_per_mw_year_usd_m,6.216728205128205,6.770058426966292,6.325464150943397,4.988888888888889,5.003243243243244,4.832
adjusted_ebitda_margin,0.6172413441955193,0.6214265676567656,0.6141560341062641,0.571281706770897,0.5567853705486044,0.5864077669902913
capex_per_mw_added_usd_m,23.45,35.09090909090909,27.170604347826085,21.038775510204083,28.13125,21.426315789473684
payback_years_per_mw,3.7720806228356576,5.183250553811478,4.295432508897199,4.2171264942502615,5.6226029062229905,4.43425409550366
backlog_years_of_revenue,6.593686354378819,6.208745874587459,10.185567856399615,10.624058466674809,11.95861405197305,10.097087378640778
revenue_per_gpu_hour,1.6786324786324782,1.7957772564514136,1.679256767842494,1.4238260869565218,1.4976576576576577,1.358241758241758
cash_cost_per_gpu_hour,0.642511111111111,0.6798335596987282,0.6479310910582444,0.6104202898550725,0.6637837837837838,0.5617582417582417
cash_margin_per_gpu_hour,1.0361213675213672,1.1159436967526855,1.0313256767842494,0.8134057971014493,0.8338738738738739,0.7964835164835163
capital_charge_per_gpu_hour,0.9872229401219857,0.9872229401219857,0.9872229401219857,0.9872229401219857,0.9872229401219857,0.9872229401219857
margin_per_gpu_hour,0.04889842739938133,0.12872075663069982,0.04410273666226372,-0.1738171430205364,-0.15334906624811184,-0.1907394236384694
payback_years_per_gpu,4.030883011568345,3.7425580075572835,4.0496267205209415,5.134563871007108,5.008532044375511,5.243654051629422
disclosed_payback_years,2.5,2.5,2.5,2.5,2.5,2.5
